"Part";"Value";"Device";"Package";"Description";"DIST";"DISTPN";"DISTPT";"PROD_ID";
"B1";"BALUN0805";"BALUN0805";"BALUN";"0805 footprint balun- Ember 351/357";"";"";"";"";
"C1";"0.01uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C3";"0.75pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C4";"22pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C5";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C6";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C7";"12pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C8";"12pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C9";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C10";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C11";"1u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C12";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C13";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C14";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C15";"0.22uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C16";"100nF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"C17";"10uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";
"IMU";"IMU";"LSM9DS0";"LSM9DS0";"";"Digikey";"LSM9DS0";"";"";
"J1";"AVR_SPI_PRG_6NS";"AVR_SPI_PRG_6NS";"2X3-NS";"AVR ISP 6 Pin";"";"";"";"";
"JP1";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";
"JP2";"FTDI_BASICPTH";"FTDI_BASICPTH";"FTDI_BASIC";"FTDI Basic header with labels";"";"";"";"";
"JP3";"20mm";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP4";"Motor";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP5";"Motor";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP6";"Motor";"M02PTH";"1X02";"Header 2";"";"";"";"";
"JP7";"Motor";"M02PTH";"1X02";"Header 2";"";"";"";"";
"LED1";"RED";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"LED2";"Green";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";
"R1";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R3";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R4";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R5";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R6";"270";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R7";"270";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";
"S1";"SW";"SWITCH-SPDTPTH";"SWITCH-SPDT";"SPDT Switch";"";"";"";"SWCH-08261";
"S2";"SWITCH-MOMENTARY-2SMD";"SWITCH-MOMENTARY-2SMD";"TACTILE_SWITCH_SMD";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";
"U$1";"ANTENNA2SMD5";"ANTENNA2SMD5";"ANTENNA-CHIP5";"Chip antenna";"";"";"";"";
"U$2";"LP3985IM5-3.0";"LP3985IM5-3.0";"SOT23-DBV";"";"";"";"";"";
"U$3";"NMOS";"SI2302DS_MOSFET";"SI2302DS_MOSFET";"";"Digikey";"Si2302CDS";"";"";
"U$4";"Diode";"BAS16WS_DIODE";"BAS16WS_DIODE";"";"VISHAY";"";"BAS16WS";"";
"U$5";"NMOS";"SI2302DS_MOSFET";"SI2302DS_MOSFET";"";"Digikey";"Si2302CDS";"";"";
"U$6";"Diode";"BAS16WS_DIODE";"BAS16WS_DIODE";"";"VISHAY";"";"BAS16WS";"";
"U$7";"NMOS";"SI2302DS_MOSFET";"SI2302DS_MOSFET";"";"Digikey";"Si2302CDS";"";"";
"U$8";"Diode";"BAS16WS_DIODE";"BAS16WS_DIODE";"";"VISHAY";"";"BAS16WS";"";
"U$9";"NMOS";"SI2302DS_MOSFET";"SI2302DS_MOSFET";"";"Digikey";"Si2302CDS";"";"";
"U$10";"Diode";"BAS16WS_DIODE";"BAS16WS_DIODE";"";"VISHAY";"";"BAS16WS";"";
"U1";"ATMEGA128RFA1";"ATMEGA128RFA1";"QFN-64";"ATmega128RFA1";"";"";"";"";
"Y1";"16MHz";"CRYSTAL5X3";"CRYSTAL-SMD-5X3";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";"";"";
